Description_ID,Unstructured_Description,Source_Channel
DESC0001,Do you carry Style Pants for Fall 2025?,Marketplace
DESC0002,"Looking for Green Boots, size L.",Email
DESC0003,"Searching for the Modern blazer finished in dark grey, XXL size.",Website
DESC0004,"Need blue sundress that is breathable and flexible for Fall 2024, size M.",Website
DESC0005,"Looking for Beige Gown, size L.",Marketplace
DESC0006,Do you have any footwear options suitable for Fall 2025?,Email
DESC0007,"Looking for naavy Santals by lite, size L please.",Email
DESC0008,Need Essetnial's burundy Boluse sz XS asap.,Phone
DESC0009,"White Polo from Alpine, size M",Chat
DESC0010,"After Black option in XS, preferably Coat.",Chat
DESC0011,"Good afternoon, do you happen to have the olive gown from Urban in size XS? Thanks in advance!",Phone
DESC0012,Do you stock Nordic's sleeveless layer in that maroon? I need XS.,Marketplace
DESC0013,Do you stock Elite's pumps in that olive tone? I need XL.,Email
DESC0014,Looking for brown outerwear for Fall 2025.,Chat
DESC0015,Nordic Vest in Green size M,Website
DESC0016,"Looking for Charcoal Parka, size XL.",Email
DESC0017,Comfort Coat in Beige size XXL,Phone
DESC0018,Do you stock Urban's vest in that deep navy? I need XL.,Website
DESC0019,"Searching for the Premium ankle boots finished in ecru, XXL size.",Email
DESC0020,"Hello, I'm checking if you carry the charcoal turtleneck from Comfort in size XL? Appreciate your help.",Email
DESC0021,Looking for Style Heels White S,Marketplace
DESC0022,"Looking for biege Parrka by Elife, size S please.",Marketplace
DESC0023,"Tan Parka from Premium, size XXL",Chat
DESC0024,Do you stock Classic's lightweight dress in that navy blue? I need S.,Marketplace
DESC0025,"Need size XXL Vest this season, any brand works.",Phone
DESC0026,"Need black sneakers that are well-ventilated and sweat-wicking for Fall 2024, size XL.",Website
DESC0027,"Hi there, could you help me find the olive sandals from Nordic in size M? Thanks in advance!",Chat
DESC0028,"Do you have the Norddic Turleneck in burguundy, size XS?",Phone
DESC0029,"Do you have the Clssic Patns in chaarcoal, size XL?",Website
DESC0030,"Want sundress with moisture-wicking performance, red in XS for Spring 2025.",Website
DESC0031,Need Alpine Parka Gray size L,Website
DESC0032,Looking for Urban Turtleneck Brown XL,Email
DESC0033,Do you stock Urban's jeans in that midnight blue? I need M.,Chat
DESC0034,"I want Comfort's midnight blue dress in XXL, please.",Chat
DESC0035,"Good afternoon, I'm checking if you carry the olive cardigan from Modern in size XS? Let me know what's possible.",Chat
DESC0036,"Searching for versatile footwear, preferably L.",Website
DESC0037,"Looking for Green Pants, size XXL.",Marketplace
DESC0038,Urban Gown in Gray size XS,Phone
DESC0039,"Need something leather in a dresses style, S size.",Chat
DESC0040,"Hello, I'm checking if you carry the green coat from Classic in size M? Thanks so much!",Email
DESC0041,"Need something denim in a bottoms style, L size.",Phone
DESC0042,"Hi, I'm checking if you carry the brown leggings from Urban in size XXL? Thanks in advance!",Chat
DESC0043,Need Premiuum's redd Boluse sz S asap.,Marketplace
DESC0044,"Searching for the Nordic day dress finished in olive tone, L size.",Website
DESC0045,Looking for the sage open-toe shoes from Essential in L.,Chat
DESC0046,Do you stock Style's polo shirt in that navy blue? I need M.,Email
DESC0047,"I want Urban's sage green bermuda shorts in XS, please.",Chat
DESC0048,Need Comfort Loafers Tan size M,Chat
DESC0049,"Need navy dress that is stretchy for Winter 2025, size XS.",Email
DESC0050,"White Heels from Essential, size M",Marketplace
DESC0051,"Good afternoon, could you help me find the gray blazer from Essential in size XL? Thanks in advance!",Marketplace
DESC0052,Need Classic Sundress Red size XS,Email
DESC0053,"I want Alpine's sage sandals in XL, please.",Phone
DESC0054,"Need brown boots that are stretchy for Spring 2025, size XL.",Phone
DESC0055,Alpine Skirt in Blue size S,Email
DESC0056,"Looking for blak Shirth by Esesntial, size S please.",Email
DESC0057,Do you carry Urban Sneakers for Spring 2025?,Chat
DESC0058,Need Nordic Heels Beige size S,Website
DESC0059,"Hey team, do you happen to have the burgundy dress from Style in size XXL? Appreciate your help.",Marketplace
DESC0060,Alpine Jeans in Tan size S,Marketplace
DESC0061,"Want sneakers with thermal performance, red in XXL for Winter 2025.",Phone
DESC0062,"Good afternoon, do you happen to have the tan t-shirt from Nordic in size L? Appreciate your help.",Marketplace
DESC0063,"After Brown option in XS, preferably Sundress.",Email
DESC0064,Need Style Parka Gray size S,Email
DESC0065,"Searching for versatile outerwear, preferably S.",Chat
DESC0066,Need Urban Gown Black size XL,Marketplace
DESC0067,"Want cream option in outerwear, open to suggestions.",Website
DESC0068,"Do you have the Alpien Turtleneckx in grmy, size L?",Website
DESC0069,Looking for the crimson slip-ons from Urban in XS.,Chat
DESC0070,Do you have any outerwear options suitable for Winter 2025?,Phone
DESC0071,Do you stock Comfort's turtleneck in that cedar brown? I need XL.,Website
DESC0072,"Beige Sandals from Classic, size XL",Marketplace
DESC0073,"Looking for high-stretch olive t-shirt in L, ideally cashmere.",Chat
DESC0074,Need Modern Jeans Green size XXL,Website
DESC0075,"Hi, I'm checking if you carry the red sneakers from Style in size S? Thanks in advance!",Chat
DESC0076,"I want Classic's dark grey denim pants in L, please.",Chat
DESC0077,Classic Jacket in Burgundy size L,Chat
DESC0078,"Searching for versatile tops, preferably M.",Phone
DESC0079,"Searching for the Modern pumps finished in khaki, XS size.",Email
DESC0080,Looking for the dark black skirt from Classic in XL.,Email
DESC0081,"After Brown option in XL, preferably Polo.",Marketplace
DESC0082,Do you stock Style's skirt in that off-white? I need S.,Email
DESC0083,"Need something wool in a tops style, S size.",Email
DESC0084,"Good afternoon, could you help me find the red boots from Comfort in size XS? Appreciate your help.",Website
DESC0085,Style Jeans in Brown size M,Chat
DESC0086,"Do you have the Prrmium T-Shirrt in urgundy, size XS?",Marketplace
DESC0087,Do you carry Essential Skirt for Fall 2025?,Website
DESC0088,Need Nordic Cardigan Burgundy size L,Email
DESC0089,"Hey team, I'm checking if you carry the gray cardigan from Nordic in size S? Let me know what's possible.",Chat
DESC0090,"Hello, could you help me find the cream shirt from Style in size S? Thanks so much!",Chat
DESC0091,"Hello, I'm hoping to order the cream skirt from Urban in size XXL? Let me know what's possible.",Chat
DESC0092,Looking for Urban Jacket Gray L,Chat
DESC0093,"After Black option in XXL, preferably Shorts.",Marketplace
DESC0094,Elite Shorts in Burgundy size XXL,Email
