SKU,Product_Name,Category,Subcategory,Brand,Color,Size,Material,Features,Season,Price
SKU1000000,Nordic Jacket,Outerwear,Jacket,Nordic,Brown,XL,Polyester,Stretch|Breathable,Fall 2025,242.05
SKU1000001,Elite Coat,Outerwear,Coat,Elite,Tan,M,Linen,Moisture-wicking,Winter 2024,247.58
SKU1000002,Premium Cardigan,Outerwear,Cardigan,Premium,Black,M,Fleece,Quick-dry,Spring 2025,99.55
SKU1000003,Alpine Blazer,Outerwear,Blazer,Alpine,Olive,M,Nylon,UV-protection|Waterproof|Quick-dry,Winter 2025,177.36
SKU1000004,Alpine Parka,Outerwear,Parka,Alpine,Charcoal,XL,Wool,Windproof|Moisture-wicking|Quick-dry,Summer 2024,215.47
SKU1000005,Urban Vest,Outerwear,Vest,Urban,Brown,M,Polyester,Quick-dry,Spring 2024,204.43
SKU1000006,Urban Jacket,Outerwear,Jacket,Urban,Gray,L,Wool,Stretch|Waterproof|Windproof,Fall 2025,179.31
SKU1000007,Essential Coat,Outerwear,Coat,Essential,Gray,XXL,Fleece,,Spring 2024,153.19
SKU1000008,Elite Cardigan,Outerwear,Cardigan,Elite,Cream,XS,Cotton,Quick-dry,Summer 2024,192.11
SKU1000009,Elite Blazer,Outerwear,Blazer,Elite,Blue,XL,Nylon,UV-protection,Summer 2024,174.4
SKU1000010,Style Parka,Outerwear,Parka,Style,Gray,S,Fleece,,Summer 2025,242.22
SKU1000011,Nordic Vest,Outerwear,Vest,Nordic,Burgundy,XS,Denim,Windproof|Waterproof,Fall 2025,176.52
SKU1000012,Nordic Jacket,Outerwear,Jacket,Nordic,Beige,XL,Nylon,Quick-dry|Waterproof|UV-protection,Fall 2025,239.27
SKU1000013,Urban Coat,Outerwear,Coat,Urban,Black,XXL,Linen,Quick-dry,Fall 2025,231.02
SKU1000014,Essential Cardigan,Outerwear,Cardigan,Essential,Black,XL,Leather,Windproof,Summer 2025,224.9
SKU1000015,Modern Blazer,Outerwear,Blazer,Modern,Gray,L,Leather,,Fall 2025,187.84
SKU1000016,Classic Parka,Outerwear,Parka,Classic,Burgundy,M,Polyester,Windproof|Moisture-wicking|Breathable,Summer 2024,231.42
SKU1000017,Nordic Vest,Outerwear,Vest,Nordic,Charcoal,XXL,Nylon,,Spring 2024,150.05
SKU1000018,Style Jacket,Outerwear,Jacket,Style,Tan,XXL,Nylon,Quick-dry|Waterproof,Summer 2024,160.4
SKU1000019,Modern Coat,Outerwear,Coat,Modern,Blue,XL,Fleece,Breathable|Windproof,Fall 2025,196.51
SKU1000020,Classic Cardigan,Outerwear,Cardigan,Classic,Navy,M,Fleece,Quick-dry,Spring 2025,235.18
SKU1000021,Elite Blazer,Outerwear,Blazer,Elite,Black,S,Polyester,Insulated,Summer 2025,184.54
SKU1000022,Style Parka,Outerwear,Parka,Style,Tan,XL,Leather,Windproof|Waterproof,Fall 2024,189.19
SKU1000023,Nordic Vest,Outerwear,Vest,Nordic,Green,M,Linen,Stretch,Winter 2024,125.93
SKU1000024,Modern Jacket,Outerwear,Jacket,Modern,Tan,S,Cashmere,Windproof,Winter 2025,158.38
SKU1000025,Elite Coat,Outerwear,Coat,Elite,Blue,S,Polyester,,Spring 2025,190.84
SKU1000026,Nordic Cardigan,Outerwear,Cardigan,Nordic,Burgundy,L,Linen,,Fall 2025,153.19
SKU1000027,Modern Blazer,Outerwear,Blazer,Modern,Brown,XL,Blend,,Winter 2024,230.48
SKU1000028,Style Parka,Outerwear,Parka,Style,Blue,XXL,Leather,Windproof|Waterproof|Insulated,Summer 2025,120.62
SKU1000029,Premium Vest,Outerwear,Vest,Premium,White,XS,Silk,,Summer 2024,155.27
SKU1000030,Classic Jacket,Outerwear,Jacket,Classic,Burgundy,L,Leather,Waterproof,Spring 2024,207.47
SKU1000031,Urban Coat,Outerwear,Coat,Urban,White,M,Denim,UV-protection,Winter 2025,233.08
SKU1000032,Urban Cardigan,Outerwear,Cardigan,Urban,Navy,L,Fleece,Breathable|Quick-dry|UV-protection,Summer 2024,132.86
SKU1000033,Alpine Blazer,Outerwear,Blazer,Alpine,Green,L,Wool,UV-protection|Waterproof|Stretch,Winter 2025,194.08
SKU1000034,Premium Parka,Outerwear,Parka,Premium,Green,S,Cotton,Quick-dry|Waterproof|Insulated,Fall 2024,161.22
SKU1000035,Elite Vest,Outerwear,Vest,Elite,Beige,XXL,Fleece,Windproof,Summer 2024,115.73
SKU1000036,Modern Jacket,Outerwear,Jacket,Modern,White,XS,Silk,,Summer 2025,80.69
SKU1000037,Essential Coat,Outerwear,Coat,Essential,Beige,XL,Denim,Breathable|Insulated,Spring 2024,157.53
SKU1000038,Premium Cardigan,Outerwear,Cardigan,Premium,Tan,L,Wool,Waterproof|Breathable,Winter 2025,167.21
SKU1000039,Modern Blazer,Outerwear,Blazer,Modern,Charcoal,M,Silk,Windproof,Fall 2024,155.94
SKU1000040,Elite Parka,Outerwear,Parka,Elite,Beige,S,Denim,Stretch|Windproof,Winter 2025,236.19
SKU1000041,Classic Vest,Outerwear,Vest,Classic,Tan,L,Blend,Moisture-wicking,Winter 2024,159.29
SKU1000042,Elite Jacket,Outerwear,Jacket,Elite,Charcoal,XXL,Denim,,Summer 2024,102.33
SKU1000043,Modern Coat,Outerwear,Coat,Modern,Olive,XL,Wool,Quick-dry|UV-protection|Waterproof,Fall 2024,98.22
SKU1000044,Nordic Cardigan,Outerwear,Cardigan,Nordic,Gray,S,Nylon,,Winter 2024,220.36
