Description_ID,Original_Description,Match_Rank,SKU,Product_Name,Brand,Color,Size,Confidence,Match_Reason,Text_Similarity,Attribute_Score,Extracted_Brand,Extracted_Color,Extracted_Size,Extracted_Subcategory,Extracted_Season
DESC0001,Do you carry Style Pants for Fall 2025?,1,SKU1000425,Style Pants,Style,White,XXL,82.56,Brand: Style | Type: Pants,70.93,100.0,Style,,,Pants,Fall 2025
DESC0001,Do you carry Style Pants for Fall 2025?,2,SKU1000445,Style Pants,Style,White,L,75.94,Brand: Style | Type: Pants,73.23,80.0,Style,,,Pants,Fall 2025
DESC0001,Do you carry Style Pants for Fall 2025?,3,SKU1000475,Style Pants,Style,Gray,M,74.29,Brand: Style | Type: Pants,70.49,80.0,Style,,,Pants,Fall 2025
DESC0002,"Looking for Green Boots, size L.",1,SKU1000660,Nordic Boots,Nordic,Green,L,66.03,Color: Green | Size: L | Type: Boots,43.38,100.0,,Green,L,Boots,
DESC0002,"Looking for Green Boots, size L.",2,SKU1000790,Alpine Boots,Alpine,Green,XXL,48.75,Color: Green | Type: Boots,40.23,61.54,,Green,L,Boots,
DESC0002,"Looking for Green Boots, size L.",3,SKU1000765,Modern Boots,Modern,Green,XXL,47.69,Color: Green | Type: Boots,38.46,61.54,,Green,L,Boots,
DESC0003,"Searching for the Modern blazer finished in dark grey, XXL size.",1,SKU1000015,Modern Blazer,Modern,Gray,L,71.02,Brand: Modern | Color: Gray | Type: Blazer,70.22,72.22,Modern,Gray,XXL,Blazer,
DESC0003,"Searching for the Modern blazer finished in dark grey, XXL size.",2,SKU1000081,Modern Blazer,Modern,Cream,XXL,62.83,Brand: Modern | Size: XXL | Type: Blazer,56.57,72.22,Modern,Gray,XXL,Blazer,
DESC0003,"Searching for the Modern blazer finished in dark grey, XXL size.",3,SKU1000093,Modern Blazer,Modern,Charcoal,XXL,62.04,Brand: Modern | Size: XXL | Type: Blazer,55.26,72.22,Modern,Gray,XXL,Blazer,
DESC0004,"Need blue sundress that is breathable and flexible for Fall 2024, size M.",1,SKU1000563,Essential Sundress,Essential,Blue,M,67.62,Color: Blue | Size: M | Type: Sundress,46.03,100.0,,Blue,M,Sundress,Fall 2024
DESC0004,"Need blue sundress that is breathable and flexible for Fall 2024, size M.",2,SKU1000323,Urban Shorts,Urban,Blue,M,47.02,Color: Blue | Size: M,25.04,80.0,,Blue,M,Sundress,Fall 2024
DESC0004,"Need blue sundress that is breathable and flexible for Fall 2024, size M.",3,SKU1000504,Elite Dress,Elite,Blue,M,45.68,Color: Blue | Size: M,22.8,80.0,,Blue,M,Sundress,Fall 2024
DESC0005,"Looking for Beige Gown, size L.",1,SKU1000559,Essential Gown,Essential,Beige,L,63.71,Color: Beige | Size: L | Type: Gown,39.51,100.0,,Beige,L,Gown,
DESC0005,"Looking for Beige Gown, size L.",2,SKU1000604,Essential Gown,Essential,Beige,M,50.47,Color: Beige | Type: Gown,43.09,61.54,,Beige,L,Gown,
DESC0005,"Looking for Beige Gown, size L.",3,SKU1000523,Modern Gown,Modern,Beige,XL,47.38,Color: Beige | Type: Gown,37.95,61.54,,Beige,L,Gown,
DESC0006,Do you have any footwear options suitable for Fall 2025?,1,SKU1000436,Style Jeans,Style,Brown,M,60.35,Text similarity match,33.92,100.0,,,,,Fall 2025
DESC0006,Do you have any footwear options suitable for Fall 2025?,2,SKU1000409,Modern Leggings,Modern,Red,S,57.39,Text similarity match,28.99,100.0,,,,,Fall 2025
DESC0006,Do you have any footwear options suitable for Fall 2025?,3,SKU1000479,Alpine Leggings,Alpine,Cream,XXL,56.98,Text similarity match,28.3,100.0,,,,,Fall 2025
DESC0007,"Looking for naavy Santals by lite, size L please.",1,SKU1000752,Alpine Sandals,Alpine,Navy,L,57.15,Size: L | Type: Sandals,54.22,61.54,,Blue,L,Sandals,
